id;ward_code;street_address;postal_code;latitude;longitude;landmark;ward_id
1;short-term yowza concerning;provided;once physically between;30593.08;9864.06;drat event elegant;1
2;difficult joyfully as;whether on;focused ouch;12522.14;15659;than drag impact;2
3;newsletter;toward;inure vet;13236.45;31958.21;pace;3
4;qua gifted;helpfully;taro;28230.14;19929.64;heavy shimmering commodity;4
5;mealy masticate;hydrocarbon;gigantic;20636.21;11793.68;less;5
6;gosh;whoa meaningfully;onto actually;21360.78;3431.82;coordinated radiant;6
7;prestigious;until;optimal unimpressively;30518.95;27129.1;ugh fondly innovate;7
8;tomatillo able;as elastic;inferior behind;1246.68;3488.61;vaguely finally;8
9;ick;terribly;fatally yahoo;6240.02;14694.06;finally bare;9
10;yowza impanel;oof potentially;magnetize;7042.49;26142.46;receptor arcade;10
